NAME	DESCRIPTION	SP-IR-P35-1	SP-IR-P35-2	SP-IR-P35-3	SP-IR-P35-4	SP-IR-P35-5	SP-IR-P35-6	MI-P35-1	MI-P35-2	MI-P35-3	MI-P35-4	MI-P35-5	MI-P35-6
ENSSSCG00000037372	na	0.086099844	0.055098126	0.080211313	0.064301488	0.069660939	0.069660939	0.05636512	0.062477915	0.071692783	0.070645762	0.068767982	0.092387283
PSMB1	na	0.133658709	0.100398527	0.131036918	0.089596176	0.09458325	0.09458325	0.092143127	0.126090862	0.113000607	0.097876829	0.104013097	0.103684802
FAM120B	na	0.444656583	0.440064182	0.441170576	0.418737745	0.399723322	0.399723322	0.367975317	0.343820817	0.333773773	0.310760007	0.342567313	0.314774205
ENSSSCG00000027274	na	0	0	0.001246416	0	0	0	0	0	0	0	0	0
DLL1	na	0.002296746	0	0.001360645	0.001360645	0	0	0	0.001494953	0.004433903	0	0.000599707	0
ENSSSCG00000033475	na	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000035944	na	0.000824842	0.000824842	0	0	0.000824842	0.000824842	0	0	0	0	0	0
ERMARD	na	0.400646201	0.385075813	0.398534768	0.419216918	0.402499766	0.402499766	0.409889712	0.386157883	0.422467706	0.384950608	0.374197009	0.391905846
TCTE3	na	0.097635006	0.079147299	0.078862988	0.073668774	0.075354324	0.075354324	0.1057433	0.124450729	0.123017993	0.113281751	0.110904809	0.114915883
PHF10	na	0.120546615	0.107564167	0.121977641	0.146456618	0.108200989	0.108200989	0.072145109	0.104235914	0.072907584	0.083732807	0.054908217	0.080592504
C6orf120	na	0.044915336	0.041475068	0.050822361	0.045306415	0.061011295	0.061011295	0.042188414	0.045651198	0.059396371	0.050376105	0.045328096	0.027392817
ENSSSCG00000004008	na	0.103195608	0.100523683	0.134995131	0.091919201	0.124242532	0.124242532	0.077867945	0.07002897	0.079749585	0.075147364	0.068822316	0.059316991
THBS2	na	0.068969337	0.074731096	0.084832793	0.065827794	0.086742396	0.086742396	0.038488354	0.028010723	0.045248249	0.03049407	0.055963015	0.03817533
ENSSSCG00000035661	na	0.001595669	0	0	0	0	0	0	0	0	0	0	0
ssc-mir-9815	na	0	0	0	0	0	0	0	0	0	0	0	0
SMOC2	na	0.028226347	0.021496082	0.022758658	0.018073941	0.024201413	0.024201413	0.007675033	0.009430506	0.006474861	0.008300833	0.009184077	0.005943582
ssc-mir-9821	na	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000031703	na	0	0	0	0	0	0	0	0	0	0	0	0
FRMD1	na	0	0	0	0	0	0	0.000542274	0.001652411	0	0.000542274	0	0.000542274
KIF25	na	0.001715087	0	0	0.002587893	0.002537721	0.002537721	0.003129625	0.003129625	0	0	0	0.001918071
AFDN	na	0.493985784	0.479374881	0.457902208	0.499908829	0.529968528	0.529968528	0.398635406	0.400234186	0.412383501	0.414459142	0.417368684	0.409924396
ssc-mir-9824	na	0	0	0	0	0	0	0	0	0	0	0	0
UNC93A	na	0	0	0	0	0	0	0	0.000711691	0	0.001392181	0.001895611	0.004348023
ENSSSCG00000022580	na	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000032403	na	0	0	0	0	0	0	0	0	0.000836985	0	0	0
ENSSSCG00000037137	na	0.002019667	0.004569444	0.000884869	0.001824203	0	0	0	0.005513641	0.002304577	0.004937764	0.00509621	0.000963589
CCR6	na	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000034196	na	0	0	0	0	0	0	0	0.001864243	0	0.00113558	0.001307057	0
FGFR1OP	na	0.053789375	0.08662956	0.08252818	0.072329	0.070306637	0.070306637	0.04456823	0.066622815	0.051243421	0.056223452	0.049706767	0.04787552
ENSSSCG00000004024	na	0.034181787	0.011959854	0.039269527	0.034548558	0.030015215	0.030015215	0.021835396	0.011320923	0.023647491	0.02702191	0.023859737	0.019826424
RPS6KA2	na	0.03722652	0.03739494	0.046896416	0.035075542	0.03582019	0.03582019	0.031917565	0.020905788	0.033679857	0.023487388	0.021677622	0.019027776
MPC1	na	0.324529093	0.305670834	0.239772884	0.294816838	0.323343913	0.323343913	0.41568022	0.48422356	0.446656335	0.452107885	0.521033894	0.483473325
ENSSSCG00000040654	na	0.037320323	0.029212215	0.030378092	0.027498557	0.018779671	0.018779671	0.035742644	0.038046494	0.042517747	0.039049036	0.040717456	0.031959565
SFT2D1	na	0.070092224	0.082213128	0.074262321	0.076493754	0.071077572	0.071077572	0.090480673	0.10524602	0.095799593	0.098117419	0.103535082	0.099445319
PRR18	na	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000036759	na	0.00118682	0	0	0	0	0	0	0	0	0.001639483	0	0.001872012
ENSSSCG00000034946	na	0	0	0	0	0	0	0	0	0	0	0	0
TBXT	na	0	0	0	0	0	0	0	0	0	0	0	0.004782274
ENSSSCG00000036448	na	0.004334486	0.000457473	0	0.001012007	0.004334486	0.004334486	0.000588493	0	0	0.001868119	0	0.000588493
PDE10A	na	0.201266694	0.206977907	0.193420559	0.189090835	0.165293498	0.165293498	0.143077911	0.151122049	0.137863568	0.14618622	0.147249819	0.186346875
ssc-mir-9831	na	0	0	0	0	0	0	0	0	0	0	0	0
RF00026	na	0	0	0	0	0	0	0	0	0	0	0	0
C6orf118	na	0	0	0	0	0	0	0	0	0	0	0	0
QKI	na	6.513648689	6.604573066	6.522829378	6.68528756	6.430179767	6.430179767	7.309468676	7.362546735	7.46333564	7.223736976	7.280297399	7.450310346
PACRG	na	0.246922633	0.241267299	0.209272377	0.197423362	0.267056475	0.267056475	0.166873674	0.167359769	0.181898171	0.18303447	0.157293921	0.174732554
RF00001	na	0.001076306	0	0	0	0.001076306	0.001076306	0	0	0	0	0	0
RF00156	na	0.001184465	0	0.001184465	0.001184465	0	0	0	0.000542447	0	0	0.000542447	0
PRKN	na	3.320044349	3.152440089	3.219405617	3.236922933	3.113484884	3.113484884	2.5259467	2.455636392	2.695733495	2.529609447	2.485246395	2.493341915
AGPAT4	na	0.048355672	0.063115587	0.03909627	0.054374206	0.049408921	0.049408921	0.115900879	0.101303621	0.121996465	0.122410173	0.114449012	0.117786293
MAP3K4	na	0.389778041	0.358584728	0.393845466	0.380407516	0.382962619	0.382962619	0.299384031	0.271990755	0.302866978	0.31319986	0.2928709	0.236984301
ENSSSCG00000032396	na	0.046050356	0.057192255	0.066251156	0.062791304	0.043505683	0.043505683	0.015002281	0.034108005	0.019808257	0.02185242	0.031085637	0.019209395
PLG	na	0.003283624	0.001111285	0.001399869	0.000848962	0.003963791	0.003963791	0.00276997	0.003045628	0.010101208	0.007520132	0.003649216	0.009160523
SLC22A3	na	0.736714883	0.730753968	0.763262564	0.738398021	0.705207516	0.705207516	1.516856134	1.607685544	1.444545907	1.624782577	1.593294617	1.536425858
RF00425	na	0	0	0	0	0	0	0	0	0	0	0	0
SLC22A2	na	0.002574228	0	0.000513068	0.001463385	0.002574228	0.002574228	0.002223918	0.001634862	0.002223918	0.001427485	0.001634862	0
SLC22A1	na	0	0.000651648	0	0.001172827	0.005589954	0.005589954	0	0	0	0	0	0
IGF2R	na	0.324049815	0.370133267	0.320297805	0.326610953	0.358986835	0.358986835	0.271392207	0.293785971	0.293178893	0.269944747	0.283393732	0.271767709
MAS1	na	0	0	0	0	0	0	0	0	0	0	0	0
PNLDC1	na	0.002670453	0.000536555	0.004503489	0.004041299	0.003741672	0.003741672	0	0.001819023	0.00224788	0.0047176	0.001819023	0.001165759
MRPL18	na	0.057380855	0.057445106	0.043468385	0.057150254	0.053495194	0.053495194	0.062087024	0.057303529	0.054316218	0.058044266	0.054176814	0.044782556
TCP1	na	0.124636488	0.138930204	0.098764191	0.109736897	0.114106517	0.114106517	0.15077799	0.158462603	0.150456371	0.150396741	0.166661272	0.181547508
RF00429	na	0	0	0	0	0	0	0	0	0	0	0	0
ACAT2	na	0.007649981	0.006914953	0.011490166	0.010938932	0.022207069	0.022207069	0.012316645	0.01384055	0.017149879	0.017118913	0.011215856	0.029939515
RF00401	na	0	0	0	0	0	0	0	0	0	0	0	0
WTAP	na	0.389361224	0.323928378	0.41429612	0.372229067	0.400454093	0.400454093	0.373767648	0.359226723	0.346326114	0.348706297	0.347706929	0.349370689
SOD2	na	0.125265357	0.108052493	0.111193896	0.11621013	0.118665097	0.118665097	0.117838725	0.100505481	0.12038186	0.122456172	0.103293484	0.101623197
FNDC1	na	0.135964873	0.116776879	0.139009573	0.072784262	0.082788269	0.082788269	0.072419487	0.084013935	0.070525037	0.095595369	0.092565089	0.091393827
ENSSSCG00000035342	na	0	0	0	0	0	0	0	0	0	0	0	0
TAGAP	na	0.014134532	0.008469571	0.017523861	0.003296229	0.004433426	0.004433426	0.007244837	0.002949145	0.005085881	0.019226754	0.008391073	0.008315334
RSPH3	na	0.100721655	0.081578294	0.087438439	0.079773671	0.092393073	0.092393073	0.041344029	0.044539244	0.040066914	0.046126805	0.046149049	0.043083741
EZR	na	0.395765758	0.350748973	0.37937704	0.375094659	0.375339551	0.375339551	0.385115477	0.341344261	0.391737813	0.335290293	0.384505817	0.364641624
SYTL3	na	0.004562317	0.009613375	0.011727907	0.019891765	0.020384759	0.020384759	0.009922718	0.006073398	0.020004335	0.019069786	0.010349626	0.008198963
DYNLT1	na	0.146263601	0.112282926	0.113502703	0.116974064	0.12615941	0.12615941	0.061602427	0.069937746	0.073327889	0.075051518	0.064051529	0.062542158
TMEM181	na	0.056471214	0.055650507	0.047125616	0.052494594	0.039145393	0.039145393	0.032589447	0.051417745	0.035215098	0.04281617	0.056670327	0.038660023
TULP4	na	0.593274663	0.610558909	0.585870927	0.548427084	0.527273751	0.527273751	0.721532134	0.757859894	0.867786918	0.799121853	0.877262634	0.760263114
ENSSSCG00000035802	na	0.000546011	0.000862738	0	0	0.000746985	0.000746985	0	0.000740992	0.002305812	0	0.002305812	0.004317731
GTF2H5	na	0.073356575	0.068903456	0.068172185	0.06318977	0.058184804	0.058184804	0.0770077	0.078770263	0.068291441	0.100684366	0.083638564	0.065090494
SERAC1	na	0.168705586	0.192873446	0.162416613	0.164431324	0.160697067	0.160697067	0.192001533	0.205287564	0.213646322	0.173374792	0.184448148	0.190142946
SYNJ2	na	0.134392744	0.120155142	0.142601051	0.131791771	0.141873699	0.141873699	0.17626042	0.205504935	0.198462075	0.197915085	0.204314343	0.234282464
SNX9	na	1.034718032	1.059851832	0.975989646	1.015255102	0.967525579	0.967525579	0.941971699	0.948957412	0.963034282	0.926056471	0.892714516	0.940826954
ENSSSCG00000040580	na	0.003865986	0.001630685	0.00067753	0.001624134	0.00360735	0.00360735	0.000653407	0.000653407	0	0.003073302	0	0
ZDHHC14	na	0.075670873	0.06989311	0.073122846	0.074193357	0.05420408	0.05420408	0.1129229	0.102154566	0.109991352	0.100868109	0.127168809	0.11567481
ENSSSCG00000038527	na	0.008430354	0.001603576	0.007302397	0.001384225	0.002653276	0.002653276	0.005772727	0.000799033	0.001880975	0.004421319	0.002771911	0.004303615
TMEM242	na	0.140058357	0.168199744	0.155046865	0.159674615	0.175168635	0.175168635	0.138443545	0.134789092	0.114905726	0.136637592	0.112693552	0.129434256
ARID1B	na	3.901997635	3.841056221	4.051197035	3.905062689	3.972824515	3.972824515	3.560523876	3.707666452	3.623547594	3.692542235	3.719001334	3.709761257
RF00001.1	na	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000004069	na	0	0	0	0	0	0	0	0	0	0	0	0
NOX3	na	0	0	0	0	0	0	0	0	0	0	0	0
TFB1M	na	0.66729807	0.696520458	0.669470284	0.648334587	0.623276658	0.623276658	0.432285028	0.467268444	0.432727164	0.437271144	0.418096598	0.460469702
CLDN20	na	0.000729375	0	0.001972144	0.001972144	0	0	0.000847459	0	0	0	0	0.001085678
TIAM2	na	0.430090145	0.441449024	0.476519309	0.477996015	0.49127961	0.49127961	0.519883089	0.563565074	0.501719459	0.521400237	0.527654717	0.481189598
SCAF8	na	2.22341749	2.204324576	2.204747834	2.250985175	2.258326422	2.258326422	1.7172937	1.605377256	1.62907313	1.613916646	1.675740042	1.579621994
ENSSSCG00000033953	na	0.004502762	0	0.004502762	0	0.004502762	0.004502762	0.00133329	0	0	0.00133329	0	0
CNKSR3	na	0.821537366	0.808188046	0.874691922	0.941996152	0.868134093	0.868134093	1.121547669	1.158609761	1.138567728	1.154497919	1.181017134	1.16022075
IPCEF1	na	0.015499075	0.008825765	0.013504114	0.004830744	0.010398412	0.010398412	0.00350866	0.006269737	0.006682346	0.015280364	0.011529453	0.013329836
