NAME	DESCRIPTION	P1-MI-D1	P1-MI-D3	P11-Sham	P2-Sham	P4-Sham	P8-MI-D1	P8-MI-D3	P9-Sham
Xkr4	na	0.094155303	0.108042787	0.12425039	0.081179065	0.101983119	0.072086508	0.080583641	0.092025437
Gm1992	na	0.004108865	0.00384322	0.001430028	0.005891942	0.003541681	0.001525599	0.003860408	0.001384867
Gm37381	na	0.006162123	0.002193652	0.007501463	0.006420966	0.008568227	0.005250506	0.00381435	0.005809475
Rp1	na	0.007738382	0.007053972	0.034436614	0.008842802	0.004308514	0.015088016	0.020209044	0.024298597
Rp1.1	na	0	0	0	0	0	0	0	0
Sox17	na	0.03063049	0.028651379	0.001751785	0.013805494	0.007293651	0.007039517	0.007303006	0.002045444
Gm37323	na	0	0	0	0	0	0	0.000527523	0
Mrpl15	na	0.451788217	0.41957024	0.281175457	0.493045638	0.379901662	0.219851978	0.259945845	0.2954092
Lypla1	na	0.000476138	0.001247641	0	0	0.002540709	0	0.001381405	0.000452767
Gm37988	na	0.03118868	0.025384685	0.02884642	0.021590942	0.02572915	0.023782708	0.023200644	0.02216757
Tcea1	na	0.098579757	0.080813916	0.075285349	0.068100258	0.073045926	0.055456849	0.057197467	0.07468301
Rgs20	na	0.022722184	0.010960651	0.040180153	0.018141645	0.01916768	0.016804418	0.014169423	0.069248431
Gm16041	na	0	0	0	0	0	0	0	0
Atp6v1h	na	0.2250635	0.228819241	0.145206596	0.143594224	0.111641335	0.291799164	0.237753689	0.137156678
Oprk1	na	0	0.000322249	0	0	0	0	0	0
Npbwr1	na	0	0	0	0	0	0	0	0
Rb1cc1	na	0.467121373	0.490784938	0.398966589	0.408902968	0.312370021	0.434426738	0.421294557	0.408141126
4732440D04Rik	na	0.079078243	0.095933741	0.108317468	0.083647195	0.109315342	0.068837141	0.103142208	0.121843142
Fam150a	na	0.008946949	0.010790818	0.00776762	0.013689479	0.020628511	0.00671115	0.007669843	0.007543782
St18	na	0.01691676	0.022881789	0.028483233	0.009892459	0.014394792	0.011292444	0.019103804	0.018310505
Pcmtd1	na	0.35481441	0.415423482	0.369366516	0.376730257	0.336877551	0.315847286	0.427541323	0.413532851
Gm26901	na	0.02887998	0.030793134	0.044559393	0.020910524	0.017346077	0.052036126	0.03611234	0.03526813
Gm30414	na	0.000678748	0	0	0	0	0.000178699	0	0
Sntg1	na	0.189760416	0.270453599	0.150992275	0.165263019	0.168133353	0.063579555	0.112860246	0.12449114
Rrs1	na	0.101336282	0.070840881	0.034844221	0.088288958	0.073295134	0.016510871	0.042476485	0.050869044
Adhfe1	na	0.142494836	0.08290791	0.103204333	0.139955822	0.148319002	0.074139926	0.102757129	0.13791562
